"Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (milpa)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Cuerpos de agua)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Monte)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Traspatio)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Tianguis)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (otro)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Cuantos productos obtiene de la actividad?","_index","_parent_table_name","_parent_index","_submission__id","_submission__uuid","_submission__submission_time","_submission__validation_status"
"","","","","","","","","Compra / venta","","","3","283","group_espacio_de_vida","184","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"","","","","","","","","Compra / venta","","","2","284","group_espacio_de_vida","184","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"","","","","Recolección","","","","","","","","285","group_espacio_de_vida","185","44058221","797c8d0f-a58d-4662-9edc-fbe4419b1d57","2020-01-01T07:06:54",""
"","","Pesca","","","","","","","","","1","286","group_espacio_de_vida","186","44058221","797c8d0f-a58d-4662-9edc-fbe4419b1d57","2020-01-01T07:06:54",""
"Cultiva","","","","","","","","","","","1","287","group_espacio_de_vida","187","44058232","c84444f3-c151-4b24-bf30-56ce4d635105","2020-01-01T07:07:07",""
"Cultiva","","","","","","","","","","","1","288","group_espacio_de_vida","188","44058232","c84444f3-c151-4b24-bf30-56ce4d635105","2020-01-01T07:07:07",""
"Cultiva","","","","","","","","","","","1","289","group_espacio_de_vida","189","44058245","ac058561-6af6-4054-9408-8bc31ea26593","2020-01-01T07:07:27",""
"Cultiva","","","","","","","","","","","1","290","group_espacio_de_vida","190","44058247","dec554e2-f9f0-4113-8f57-011ba07d4828","2020-01-01T07:07:32",""
"Cultiva","","","","","","","","","","","2","291","group_espacio_de_vida","191","44058251","592657fc-f4ea-497d-824b-e4570dc1331a","2020-01-01T07:07:42",""
"Cultiva","","","","","","","","","","","9","292","group_espacio_de_vida","192","44058255","f310befc-2ac8-4a65-8150-afed22b3ef2b","2020-01-01T07:07:53",""
"","","","","","","","","Compra / venta","","","2","293","group_espacio_de_vida","193","44058255","f310befc-2ac8-4a65-8150-afed22b3ef2b","2020-01-01T07:07:53",""
"Cultiva","","","","","","","","","","","8","294","group_espacio_de_vida","194","44058258","0fd66cb0-ec97-481e-9d6f-8ab80ce6f34e","2020-01-01T07:08:04",""
"","","","","","","Recolección","","","","","1","295","group_espacio_de_vida","195","44058258","0fd66cb0-ec97-481e-9d6f-8ab80ce6f34e","2020-01-01T07:08:04",""
"Recolección","","","","","","","","","","","6","296","group_espacio_de_vida","196","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"","","","","","","","","Compra / venta","","","4","297","group_espacio_de_vida","197","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Cultiva","","","","","","","","","","","4","298","group_espacio_de_vida","198","44443462","0179cdf7-8cde-4554-a554-3aed79d56d37","2020-01-09T04:53:57",""
"Cultiva","","","","","","","","","","","9","299","group_espacio_de_vida","199","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Recolección","","","","","","","","","","","15","300","group_espacio_de_vida","200","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
