"Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Nombre del espacio de vida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Especifica el espacio de vida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/¿En qué ciclos agricolas cultivo esta parcela?","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/¿Cuantas actividades realiza en ${Nombre_del_espacio_de_vida_001}?","_index","_parent_table_name","_parent_index","_submission__id","_submission__uuid","_submission__submission_time","_submission__validation_status"
"Tianguis","","","2","184","Encuesta Alimentaria del CIDEA","99","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"Monte","","","1","185","Encuesta Alimentaria del CIDEA","100","44058221","797c8d0f-a58d-4662-9edc-fbe4419b1d57","2020-01-01T07:06:54",""
"Cuerpos de agua","","","1","186","Encuesta Alimentaria del CIDEA","100","44058221","797c8d0f-a58d-4662-9edc-fbe4419b1d57","2020-01-01T07:06:54",""
"Milpa","","","1","187","Encuesta Alimentaria del CIDEA","101","44058232","c84444f3-c151-4b24-bf30-56ce4d635105","2020-01-01T07:07:07",""
"Milpa","","","1","188","Encuesta Alimentaria del CIDEA","101","44058232","c84444f3-c151-4b24-bf30-56ce4d635105","2020-01-01T07:07:07",""
"Milpa","","","1","189","Encuesta Alimentaria del CIDEA","102","44058245","ac058561-6af6-4054-9408-8bc31ea26593","2020-01-01T07:07:27",""
"Milpa","","","1","190","Encuesta Alimentaria del CIDEA","103","44058247","dec554e2-f9f0-4113-8f57-011ba07d4828","2020-01-01T07:07:32",""
"Milpa","","","1","191","Encuesta Alimentaria del CIDEA","104","44058251","592657fc-f4ea-497d-824b-e4570dc1331a","2020-01-01T07:07:42",""
"Milpa","","","1","192","Encuesta Alimentaria del CIDEA","105","44058255","f310befc-2ac8-4a65-8150-afed22b3ef2b","2020-01-01T07:07:53",""
"Tianguis","","","1","193","Encuesta Alimentaria del CIDEA","105","44058255","f310befc-2ac8-4a65-8150-afed22b3ef2b","2020-01-01T07:07:53",""
"Milpa","","","1","194","Encuesta Alimentaria del CIDEA","106","44058258","0fd66cb0-ec97-481e-9d6f-8ab80ce6f34e","2020-01-01T07:08:04",""
"Traspatio","","","1","195","Encuesta Alimentaria del CIDEA","106","44058258","0fd66cb0-ec97-481e-9d6f-8ab80ce6f34e","2020-01-01T07:08:04",""
"Milpa","","","1","196","Encuesta Alimentaria del CIDEA","107","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Tianguis","","","1","197","Encuesta Alimentaria del CIDEA","107","44443455","5449574b-4100-4b91-8aed-c89344c93cb7","2020-01-09T04:53:47",""
"Milpa","","","1","198","Encuesta Alimentaria del CIDEA","108","44443462","0179cdf7-8cde-4554-a554-3aed79d56d37","2020-01-09T04:53:57",""
"Milpa","","","1","199","Encuesta Alimentaria del CIDEA","109","44443469","0c9a9583-2859-4487-b2b7-e926c16f17cf","2020-01-09T04:54:13",""
"Milpa","","","1","200","Encuesta Alimentaria del CIDEA","110","44443480","4199e751-7f69-48cb-8c2f-b566248fb01a","2020-01-09T04:54:26",""
"Tianguis","","","1","201","Encuesta Alimentaria del CIDEA","111","44443488","b774b984-e3fc-4e89-9d96-61044af5cde7","2020-01-09T04:54:39",""
"Tianguis","","","1","202","Encuesta Alimentaria del CIDEA","112","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Milpa","","","1","203","Encuesta Alimentaria del CIDEA","112","44443496","071e1670-61d4-4ed1-99e6-4fb36fd4c8ec","2020-01-09T04:54:50",""
"Milpa","","","1","204","Encuesta Alimentaria del CIDEA","113","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Traspatio","","","1","205","Encuesta Alimentaria del CIDEA","113","44443507","e63cf079-c9c7-40bd-89da-f77525c5fd38","2020-01-09T04:55:02",""
"Milpa","","","1","206","Encuesta Alimentaria del CIDEA","114","44443521","a4edd2c3-c749-4074-926e-e4b6a6d37981","2020-01-09T04:55:14",""
"Traspatio","","","1","207","Encuesta Alimentaria del CIDEA","114","44443521","a4edd2c3-c749-4074-926e-e4b6a6d37981","2020-01-09T04:55:14",""
"Milpa","","","1","208","Encuesta Alimentaria del CIDEA","115","44570900","cc1d1845-c54b-47a1-b665-b1c4ee03debe","2020-01-11T02:31:05",""
"Tianguis","","","1","209","Encuesta Alimentaria del CIDEA","116","44570903","40b4a5f0-01df-433c-9815-80e66281f3b9","2020-01-11T02:31:16",""
"Milpa","","","1","210","Encuesta Alimentaria del CIDEA","117","44570907","603bd068-13c5-472e-bcc7-bcdc7aacf77a","2020-01-11T02:31:25",""
"Milpa","","","1","211","Encuesta Alimentaria del CIDEA","118","44570911","ec089946-01ab-47d0-a099-93d2048b5f80","2020-01-11T02:31:34",""
"Milpa","","","1","212","Encuesta Alimentaria del CIDEA","119","44570934","07cdccfa-2fdf-4e43-bd6c-e249f5d4087c","2020-01-11T02:31:45",""
"Milpa","","","1","213","Encuesta Alimentaria del CIDEA","120","44570939","c1a64a49-e51b-4ed2-8f84-6da5e9c47ffb","2020-01-11T02:31:53",""
"Milpa","","","1","214","Encuesta Alimentaria del CIDEA","121","44663385","b7c78373-79c7-417f-8f73-e2815dcd8e04","2020-01-13T02:03:50",""
"Tianguis","","","1","215","Encuesta Alimentaria del CIDEA","121","44663385","b7c78373-79c7-417f-8f73-e2815dcd8e04","2020-01-13T02:03:50",""
"Milpa","","","1","216","Encuesta Alimentaria del CIDEA","122","44663389","db8c2bc8-27c2-4103-a5e9-f35d4e854ea0","2020-01-13T02:03:58",""
"Milpa","","","1","217","Encuesta Alimentaria del CIDEA","123","45507371","865363bc-7d0f-422e-bf04-2442c02dba4c","2020-01-26T06:44:16",""
"Milpa","","","1","218","Encuesta Alimentaria del CIDEA","124","45507373","d6706e43-727d-4f5d-9bae-67df73d7d767","2020-01-26T06:44:22",""
"Tianguis","","","1","219","Encuesta Alimentaria del CIDEA","125","45507375","bbf988a9-2599-4015-9666-aa45574b6128","2020-01-26T06:44:29",""
"Milpa","","","1","220","Encuesta Alimentaria del CIDEA","126","45507377","cbbfd991-8a5a-48d2-930f-cf39fab60461","2020-01-26T06:44:35",""
"Milpa","","","1","221","Encuesta Alimentaria del CIDEA","127","45507380","3a5eb1c4-ebce-4de6-a1f2-c3b6c524ed6f","2020-01-26T06:44:42",""
"Milpa","","","1","222","Encuesta Alimentaria del CIDEA","128","45507382","1dc9b8ea-fae2-4639-8627-a9a7f7dad3b6","2020-01-26T06:44:50",""
"Milpa","","","1","223","Encuesta Alimentaria del CIDEA","129","45507384","5e662f8e-dbb8-4562-b843-b3f66ec318b3","2020-01-26T06:44:56",""
"Milpa","","","1","224","Encuesta Alimentaria del CIDEA","130","45507387","47472a28-5d89-4435-b97e-5457366267f7","2020-01-26T06:45:04",""
"Traspatio","","","1","225","Encuesta Alimentaria del CIDEA","131","45507457","704871bc-86f9-4e72-853c-9f0d25460d24","2020-01-26T06:46:45",""
"Tianguis","","","1","226","Encuesta Alimentaria del CIDEA","132","45507459","118f08e0-795b-4fc4-871a-00a70e0e7aeb","2020-01-26T06:46:52",""
"Milpa","","","1","227","Encuesta Alimentaria del CIDEA","133","45507461","856fc5c7-e314-4f3f-bd5e-1f163c4ad85f","2020-01-26T06:47:03",""
"Milpa","","","1","228","Encuesta Alimentaria del CIDEA","134","45507464","297bdb09-f12a-400c-948c-a14ff457a433","2020-01-26T06:47:13",""
"Milpa","","","1","229","Encuesta Alimentaria del CIDEA","135","45507466","b60add65-5c22-4bde-999c-93af949609fc","2020-01-26T06:47:21",""
"Milpa","","","1","230","Encuesta Alimentaria del CIDEA","136","45507469","e8fc5a16-9498-4d50-a74f-b6c425be2c16","2020-01-26T06:47:24",""
"Milpa","","","1","231","Encuesta Alimentaria del CIDEA","137","45507471","510334ea-8389-42c0-9f72-91545941c3f3","2020-01-26T06:47:26",""
"Milpa","","","1","232","Encuesta Alimentaria del CIDEA","138","45507473","02dd5e6b-d974-4252-a8c0-a6922b7099e8","2020-01-26T06:47:29",""
"Milpa","","","1","233","Encuesta Alimentaria del CIDEA","139","45507475","43969d35-03e6-4c7f-82a8-6ac852460445","2020-01-26T06:47:31",""
"Milpa","","","1","234","Encuesta Alimentaria del CIDEA","140","46843251","5aa50f66-e05e-4e9b-a330-1c88d913e0e9","2020-02-16T04:45:37",""
"Milpa","","","1","235","Encuesta Alimentaria del CIDEA","141","46843256","1f4ac967-f054-461d-af45-784e0457791a","2020-02-16T04:45:43",""
"Milpa","","","1","236","Encuesta Alimentaria del CIDEA","142","46843260","7f72e3d5-925d-41e4-b9fd-a98035410f94","2020-02-16T04:45:47",""
"Tianguis","","","1","237","Encuesta Alimentaria del CIDEA","143","46844654","f9d174d4-ba79-437c-8144-33845f586a97","2020-02-16T05:45:22",""
