"Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Qué producto obtiene?","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/El producto ${producto_espacio} lo ocupa para:","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto obtiene de ${producto_espacio} al año?","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (Pesca)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (caza)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (recolección)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (compra/venta)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(cultiva)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(otro)","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida","Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto de los productos obtenidos en los espacio de vida, consume la familia? (expresado en porcentaje)","_index","_parent_table_name","_parent_index","_submission__id","_submission__uuid","_submission__submission_time","_submission__validation_status"
"Azucar, huevo, leche","autoconsumo","50","","","","","","","Kilos","","","","","","100","442","group_actividades_espacio","283","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"Limon","ambos","2","","","","","","","Otra","Costales","","","","","90","443","group_actividades_espacio","283","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"Epazote","ambos","100","","","","","","","Manojos","","","","","","20","444","group_actividades_espacio","283","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"Huevo","autoconsumo","3","","","","","","","Kilos","","","","","","100","445","group_actividades_espacio","284","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"Mango","autoconsumo","1","","","","","","","Otra","Costal","","","","","100","446","group_actividades_espacio","284","44058215","3b8dfcea-8aa5-4e7b-ba59-200ca4ba9e76","2020-01-01T07:06:40",""
"Pescado","autoconsumo","1","Kilos","","","","","","","","","","","","100","447","group_actividades_espacio","286","44058221","797c8d0f-a58d-4662-9edc-fbe4419b1d57","2020-01-01T07:06:54",""
"Maiz","autoconsumo","2","","","","","","","","","Otra","Costales","","","100","448","group_actividades_espacio","287","44058232","c84444f3-c151-4b24-bf30-56ce4d635105","2020-01-01T07:07:07",""
"Maiz","autoconsumo","2","","","","","","","","","Otra","Costales","","","100","449","group_actividades_espacio","288","44058232","c84444f3-c151-4b24-bf30-56ce4d635105","2020-01-01T07:07:07",""
"Maiz","autoconsumo","5","","","","","","","","","Otra","Costales","","","100","450","group_actividades_espacio","289","44058245","ac058561-6af6-4054-9408-8bc31ea26593","2020-01-01T07:07:27",""
"Maiz","autoconsumo","5","","","","","","","","","Otra","Costales","","","100","451","group_actividades_espacio","290","44058247","dec554e2-f9f0-4113-8f57-011ba07d4828","2020-01-01T07:07:32",""
"Maiz","ambos","8","","","","","","","","","Otra","Costales","","","30","452","group_actividades_espacio","291","44058251","592657fc-f4ea-497d-824b-e4570dc1331a","2020-01-01T07:07:42",""
"Mandarina","ambos","2","","","","","","","","","Otra","Costales","","","20","453","group_actividades_espacio","291","44058251","592657fc-f4ea-497d-824b-e4570dc1331a","2020-01-01T07:07:42",""
