Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (milpa),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Cuerpos de agua),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Monte),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Traspatio),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (Tianguis),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Especifica la actividad:,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Qué actividad realiza? (otro),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./¿Cuantos productos obtiene de la actividad?,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
Cultiva,,,,,,,,,,,2,347,group_espacio,241,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Cultiva,,,,,,,,,,,2,348,group_espacio,241,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
,,,,,,Recolección,,,,,1,349,group_espacio,242,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Cultiva,,,,,,,,,,,1,350,group_espacio,243,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
,,,,Recolección,,,,,,,2,351,group_espacio,244,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
,,,,Recolección,,,,,,,1,352,group_espacio,244,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
Cultiva,,,,,,,,,,,1,353,group_espacio,245,44058234,6412bbc4-1cd1-470d-bbd2-4edb58704f61,2020-01-01T07:07:14,
,,,,,,Recolección,,,,,1,354,group_espacio,246,44058234,6412bbc4-1cd1-470d-bbd2-4edb58704f61,2020-01-01T07:07:14,
,,,,,,Recolección,,,,,1,355,group_espacio,247,44058242,05e8aab0-f96c-497a-8ddb-e3236232262c,2020-01-01T07:07:23,
Cultiva,,,,,,,,,,,2,356,group_espacio,248,44058250,6563e3c9-18e7-4e1c-822e-bf04281af783,2020-01-01T07:07:37,
