Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Qué producto obtiene?,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Cuánto obtiene de ${producto_espacio} al año?,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (Pesca),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (caza),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (recolección),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio} (compra/venta),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(cultiva),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Unidad de medida del ${producto_espacio}(otro),Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/Especifica la unidad de medida,Espacios de vida y actividad (Diferentes espacios donde la gente se alimenta)/Actividades espacio de vida./Productos espacio de vida/¿Qué porcentaje de esta actividad consume la familia?,_index,_parent_table_name,_parent_index,_submission__id,_submission__uuid,_submission__submission_time,_submission__validation_status
"Maiz, Naranja",40,,,,,,,,,Otra,Costales,,,20,907,group_actividades,347,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Palmilla,200,,,,,,,,,Manojos,,,,100,908,group_actividades,347,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
"Maiz, Naranja",40,,,,,,,,,Otra,Costales,,,20,909,group_actividades,348,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Naranja,5,,,,,,,,,Otra,Costales,,,50,910,group_actividades,348,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Naranja,2,,,,,Otra,Costales,,,,,,,20,911,group_actividades,349,44058218,14d8f86d-7cce-420a-8444-761446e14fe7,2020-01-01T07:06:48,
Maiz,2,,,,,,,,,Otra,Bultos,,,100,912,group_actividades,350,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
Nopal,2,,,,,Otra,Costales,,,,,,,100,913,group_actividades,351,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
Naranja,6,,,,,Otra,Costales,,,,,,,50,914,group_actividades,351,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
Jobo,50,,,,,Otra,Kilos,,,,,,,100,915,group_actividades,352,44058225,2f3c715e-3ddf-41fa-a7da-650b70158691,2020-01-01T07:07:02,
Maiz,8,,,,,,,,,Otra,Costales,,,100,916,group_actividades,353,44058234,6412bbc4-1cd1-470d-bbd2-4edb58704f61,2020-01-01T07:07:14,
Naranja,2,,,,,Otra,Costales,,,,,,,100,917,group_actividades,354,44058234,6412bbc4-1cd1-470d-bbd2-4edb58704f61,2020-01-01T07:07:14,
Nopal,5,,,,,Otra,Costales,,,,,,,100,918,group_actividades,355,44058242,05e8aab0-f96c-497a-8ddb-e3236232262c,2020-01-01T07:07:23,
Maiz,8,,,,,,,,,Otra,Costales,,,50,919,group_actividades,356,44058250,6563e3c9-18e7-4e1c-822e-bf04281af783,2020-01-01T07:07:37,
Mandarina,1,,,,,,,,,Otra,Costal,,,100,920,group_actividades,356,44058250,6563e3c9-18e7-4e1c-822e-bf04281af783,2020-01-01T07:07:37,
Nopal,2,,,,,Otra,Costales,,,,,,,30,921,group_actividades,357,44058250,6563e3c9-18e7-4e1c-822e-bf04281af783,2020-01-01T07:07:37,
Yuca,30,,,,,,,,,kilos,,,,2,922,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Chile piquin,5,,,,,,,,,kilos,,,,1,923,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Cilantro,38,,,,,,,,,Manojos,,,,10,924,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Platano tabasco,50,,,,,,,,,kilos,,,,10,925,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Frijol,100,,,,,,,,,kilos,,,,20,926,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Maiz,300,,,,,,,,,Otra,Costales,,,10,927,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Naranja,20,,,,,,,,,Otra,Costales,,,5,928,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Platano macho,50,,,,,,,,,kilos,,,,5,929,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Platano manzano,40,,,,,,,,,kilos,,,,2,930,group_actividades,358,44058253,26495c7e-764b-43ae-a19c-2810a8ee88b0,2020-01-01T07:07:48,
Caña,30,,,,,,,,,Otra,Piezas,,,1,931,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Chile piquin ,5,,,,,,,,,kilos,,,,1,932,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Frijol,10,,,,,,,,,Otra,Costales,,,5,933,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Maiz,100,,,,,,,,,Otra,Costales,,,10,934,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Naranja,10,,,,,,,,,Otra,Costales,,,5,935,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Palmilla,16,,,,,,,,,Manojos,,,,1,936,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Platano,40,,,,,,,,,kilos,,,,10,937,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Caxtilan,100,,,,,,,,,Otra,Rollos,,,5,938,group_actividades,359,44058256,1c54104e-68cc-415e-a866-389841909c16,2020-01-01T07:07:59,
Maiz,80,,,,,,,,,Otra,Costales,,,10,939,group_actividades,360,44443452,f418de05-f08f-46f1-bf39-ca3caace4ab0,2020-01-09T04:53:41,
Frijol,4,,,,,,,,,Otra,Costales,,,10,940,group_actividades,360,44443452,f418de05-f08f-46f1-bf39-ca3caace4ab0,2020-01-09T04:53:41,
Chile,2,,,,,,,,,Otra,Costales,,,5,941,group_actividades,360,44443452,f418de05-f08f-46f1-bf39-ca3caace4ab0,2020-01-09T04:53:41,
Platano tabasco,50,,,,,,,,,kilos,,,,10,942,group_actividades,360,44443452,f418de05-f08f-46f1-bf39-ca3caace4ab0,2020-01-09T04:53:41,
Platano macho,60,,,,,,,,,kilos,,,,10,943,group_actividades,360,44443452,f418de05-f08f-46f1-bf39-ca3caace4ab0,2020-01-09T04:53:41,
Platano manzano,50,,,,,,,,,kilos,,,,10,944,group_actividades,360,44443452,f418de05-f08f-46f1-bf39-ca3caace4ab0,2020-01-09T04:53:41,
Maiz,80,,,,,,,,,Otra,Costales,,,10,945,group_actividades,361,44443458,077fba51-849c-4a0e-b67c-59a4696fc9da,2020-01-09T04:53:51,
Frijol,4,,,,,,,,,Otra,Costales,,,10,946,group_actividades,361,44443458,077fba51-849c-4a0e-b67c-59a4696fc9da,2020-01-09T04:53:51,
